Customer ID,Age,Gender,Location,Income Level,Purchase Date, Purchase Value ,Items Purchased,Quantity,First Purchase Date,Last Purchase Date,Time Since Last Purchase, Total Spending , Average Order Value ,Number of Purchases,Average Time Between Purchases,Repeat Purchase Rate,Website Visits,Click-Through Rate,Time Spent on Website
5328,23,Male,Josephport,Low,08-12-2022, $10.11 ,Smartwatch,4,13-01-2023,05-02-2023,18," $1,642.54 ", $410.63 ,10,14.9,53%,46,0.04,468
8920,59,Female,Jessicaside,Medium,12-06-2023, $492.45 ,Headphones,3,15-08-2022,08-06-2023,-153," $2,923.42 ", $974.47 ,1,208,43%,40,0.02,587
6475,44,Male,New Rebecca,Medium,20-04-2023, $86.62 ,Laptop,1,06-10-2022,20-04-2023,54," $2,415.07 "," $2,415.07 ",7,19.14,41%,41,0.04,119
8280,35,Male,Alexiston,Low,08-11-2022, $372.49 ,Tablet,5,18-11-2021,27-01-2023,108," $4,706.74 ", $941.35 ,9,56.67,49%,16,0.06,350
7591,29,Male,West Lawrenceberg,Low,23-06-2023, $197.97 ,Smartwatch,4,08-04-2022,11-06-2023,-67," $4,612.95 "," $1,153.24 ",7,62.14,54%,40,0.07,447
1267,60,Female,North Danielchester,High,06-12-2022, $78.97 ,Headphones,2,28-05-2023,03-06-2023,-147," $2,897.62 "," $1,448.81 ",10,-3.8,31%,22,0.08,600
1076,50,Female,Raymondhaven,Medium,30-08-2022, $336.97 ,Smartwatch,4,12-08-2021,28-04-2023,-39," $4,192.58 "," $1,048.14 ",2,282.5,17%,4,0.04,151
6717,19,Female,South Timothyville,High,24-02-2023, $176.87 ,Laptop,3,29-08-2022,20-04-2023,65, $452.68 , $150.89 ,2,114.5,95%,37,0.09,33
8386,49,Female,Nguyenbury,Medium,08-02-2023, $91.67 ,Camera,1,09-12-2022,07-01-2023,125," $1,667.49 "," $1,667.49 ",3,39.67,39%,19,0.03,40
8419,43,Female,Port Johntown,Medium,30-10-2022, $387.70 ,Laptop,5,05-01-2023,06-06-2023,11," $2,473.07 ", $494.61 ,10,3.7,35%,26,0.02,320
6106,60,Male,Heatherview,Medium,10-10-2022, $452.77 ,Smartwatch,3,07-02-2023,23-06-2023,-146," $3,542.86 "," $1,180.95 ",5,6.8,34%,6,0.06,372
9446,33,Female,Port Joseph,High,26-03-2023, $450.77 ,Laptop,1,24-12-2022,09-05-2023,-69, $649.33 , $649.33 ,3,48,12%,15,0.03,201
6607,48,Female,Weberfurt,High,31-08-2022, $240.19 ,Laptop,1,03-05-2022,22-10-2022,181," $1,488.72 "," $1,488.72 ",8,40.75,74%,8,0.05,166
8799,51,Female,Lake Maureenland,Medium,04-03-2023, $103.25 ,Smartphone,4,18-09-2021,27-10-2021,479," $3,097.85 ", $774.46 ,5,109.6,41%,34,0.02,294
7149,60,Male,North Jamesmouth,High,15-11-2022, $330.91 ,Smartwatch,1,19-03-2022,03-06-2023,8," $1,144.75 "," $1,144.75 ",6,53.67,83%,44,0.05,327
1885,60,Male,North Maureenfort,Low,30-12-2022, $144.81 ,Headphones,3,21-06-2023,24-06-2023,-129," $4,666.35 "," $1,555.45 ",9,-6,40%,41,0.1,251
2429,40,Female,Jessicabury,High,04-08-2022, $496.85 ,Smartphone,5,25-08-2022,20-12-2022,67," $2,548.46 ", $509.69 ,5,47.4,56%,38,0.01,210
5775,27,Male,Port Kaylaside,Medium,25-04-2023, $321.23 ,Smartphone,4,23-08-2022,21-05-2023,-113," $3,932.39 ", $983.10 ,3,59,74%,22,0.08,53
3517,28,Male,Port Austin,Medium,15-01-2023, $290.97 ,Laptop,1,11-01-2022,13-03-2023,64," $3,068.63 "," $3,068.63 ",10,37.4,38%,27,0.04,514
7992,64,Female,Thomasborough,Medium,03-09-2022, $142.37 ,Smartwatch,3,07-09-2021,15-03-2022,435," $3,891.75 "," $1,297.25 ",6,92,33%,39,0.09,119
3214,50,Male,Sheltonhaven,Low,22-09-2022, $143.79 ,Smartwatch,5,27-08-2022,30-01-2023,3," $1,253.45 ", $250.69 ,2,92.5,50%,13,0.03,91
2400,33,Female,Port Sandra,Medium,05-02-2023, $96.14 ,Laptop,3,03-01-2022,06-03-2023,-29," $4,362.75 "," $1,454.25 ",2,212,5%,43,0.07,174
5430,26,Male,Jacobville,High,31-05-2023, $470.63 ,Smartwatch,3,07-01-2023,24-05-2023,-98," $4,516.50 "," $1,505.50 ",8,-0.38,52%,9,0.1,550
4835,54,Female,Rogersview,Low,07-12-2022, $274.46 ,Smartphone,2,16-05-2022,19-11-2022,122," $4,655.62 "," $2,327.81 ",7,52,46%,40,0.09,115
5901,62,Female,Sandyland,Low,29-11-2022, $381.11 ,Smartwatch,3,03-12-2022,12-02-2023,110, $336.22 , $112.07 ,1,139,1%,11,0.06,415
